,state,death,deathIncrease,hospitalizedCurrently,hospitalizedIncrease,negative,negativeIncrease,positive,positiveCasesViral,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease,totalTestsPeopleViralIncrease,totalTestsViralIncrease
1103,OK,1210.0,19,870.0,113,1367370.0,9908,110855.0,110855.0,1307,94979.0,1478225.0,11215,0,11078
1104,OR,635.0,2,183.0,25,759492.0,4311,40443.0,38406.0,307,5870.0,799935.0,4618,4599,0
1105,PA,8562.0,29,966.0,0,2167536.0,11897,186297.0,178648.0,1425,147174.0,2353833.0,13322,13136,27447
1106,PR,774.0,5,378.0,0,305972.0,0,29717.0,29717.0,132,26018.0,335689.0,132,0,0
1107,RI,1169.0,5,130.0,19,375557.0,3151,29123.0,29123.0,474,2580.0,998560.0,13240,3625,0
1108,SC,3708.0,12,743.0,34,1467192.0,12763,166357.0,159433.0,864,84052.0,1633549.0,13627,0,13449
1109,SD,333.0,3,332.0,46,201206.0,937,35044.0,34031.0,587,26023.0,236250.0,1524,1524,4666
1110,TN,2970.0,18,1424.0,53,3180394.0,17227,235861.0,223867.0,2292,210243.0,3416255.0,19519,0,19210
1111,TX,17201.0,114,4782.0,0,6636065.0,25296,838809.0,838809.0,5252,739140.0,7474874.0,30548,0,30548
1112,UT,557.0,6,338.0,54,868886.0,5587,98006.0,98006.0,1363,72606.0,1280311.0,11847,6536,11847
1113,VA,3515.0,30,1010.0,129,2273738.0,19011,168772.0,157998.0,1018,19226.0,2431736.0,19796,0,0
1115,VT,58.0,0,4.0,0,178723.0,966,1971.0,1971.0,15,1708.0,362906.0,2103,981,2103
1117,WI,1702.0,50,1190.0,167,1718564.0,5681,192191.0,182687.0,4363,142485.0,2924206.0,13633,9886,0
1118,WV,413.0,5,188.0,0,675863.0,4573,20734.0,19664.0,215,15215.0,696597.0,4788,0,4724
1119,WY,61.0,0,66.0,2,111822.0,3068,9848.0,8305.0,322,7070.0,121670.0,3390,4036,10368
1120,AK,67.0,0,38.0,0,534093.0,10090,12432.0,12432.0,212,6681.0,546525.0,10302,0,10302
1121,AL,2805.0,16,846.0,0,1112559.0,4731,174528.0,153016.0,1043,74238.0,1265575.0,5475,0,5475
1122,AR,1728.0,14,627.0,67,1137234.0,7110,100441.0,94418.0,844,90283.0,1231652.0,7738,0,7738
1124,AZ,5837.0,7,777.0,71,1419675.0,6571,232937.0,227670.0,1040,38705.0,1647345.0,7560,7560,0
1126,CO,2051.0,9,465.0,21,1008906.0,8240,86374.0,80536.0,1072,7225.0,1708450.0,19137,9284,0
1127,CT,4559.0,5,217.0,0,1989807.0,14231,64455.0,61863.0,434,9651.0,2054262.0,14665,0,14653
1129,DE,668.0,2,107.0,0,307401.0,1579,23325.0,22220.0,129,12245.0,515381.0,2352,1708,0
1132,GU,67.0,1,70.0,0,56620.0,827,3886.0,3869.0,130,2354.0,60506.0,957,940,954
1133,HI,187.0,0,96.0,7,295153.0,0,14262.0,14068.0,37,11078.0,479301.0,1985,0,0
1134,IA,1555.0,17,501.0,0,734707.0,1651,103011.0,103011.0,494,83518.0,837718.0,2145,2147,0
1135,ID,531.0,3,187.0,25,307612.0,1597,53790.0,47770.0,698,26238.0,355382.0,2192,2192,4161
1139,KY,1342.0,16,776.0,49,1630784.0,7112,89544.0,76113.0,1297,17402.0,1706897.0,8082,0,8082
1140,LA,5772.0,6,586.0,0,2436688.0,18294,179769.0,176681.0,699,161792.0,2616457.0,18993,18993,0
1141,MA,9758.0,5,517.0,12,2407230.0,16417,145464.0,142295.0,976,118892.0,5306041.0,66390,17238,66390
1142,MD,4050.0,9,464.0,41,1688161.0,7593,136744.0,136744.0,590,7926.0,3121799.0,17966,8183,17966
1143,ME,146.0,0,9.0,0,548105.0,4590,5989.0,5341.0,27,5206.0,554094.0,4617,0,4608
1144,MI,7383.0,20,1050.0,0,4219797.0,48296,165994.0,149392.0,1871,109539.0,4385791.0,50167,0,50752
1145,MN,2246.0,7,567.0,126,1574734.0,4604,125531.0,125215.0,1092,111634.0,2522999.0,11604,5684,0
1148,MS,3202.0,31,664.0,0,729544.0,0,111322.0,99451.0,730,97675.0,840866.0,730,0,0
1149,MT,252.0,11,360.0,35,420928.0,1952,24093.0,24093.0,703,14842.0,445021.0,2655,0,2655
1150,NC,3992.0,53,1203.0,0,3423043.0,21851,248750.0,240297.0,1578,218541.0,3671793.0,23429,0,23254
1151,ND,315.0,5,209.0,34,240906.0,806,33666.0,33666.0,1029,27222.0,746364.0,5204,1835,5529
1152,NE,554.0,6,380.0,22,487852.0,2707,58817.0,58817.0,749,39313.0,810498.0,10919,3456,10919
1153,NH,468.0,0,16.0,2,306263.0,1203,9828.0,9828.0,82,8536.0,543562.0,0,1285,0
1154,NJ,16227.0,13,781.0,89,4013107.0,16607,222193.0,222193.0,988,36005.0,4235300.0,17595,0,17595
1155,NM,935.0,1,183.0,37,1023966.0,5863,37302.0,37302.0,514,20001.0,1061268.0,6377,0,6377
1156,NV,1727.0,15,506.0,0,674813.0,2454,91499.0,91499.0,656,2336.0,1156029.0,28,3110,0
1157,NY,25672.0,13,942.0,0,12586235.0,89339,486480.0,486480.0,1201,78530.0,13072715.0,90540,0,0
1158,OH,5083.0,8,1221.0,216,3793775.0,35832,185639.0,174859.0,2015,152460.0,3979414.0,37847,0,37694
1159,OK,1191.0,18,821.0,149,1357462.0,29930,109548.0,109548.0,1475,93698.0,1467010.0,31405,0,32604
1160,OR,633.0,5,183.0,17,755181.0,6466,40136.0,38118.0,342,5870.0,795317.0,6808,6803,0
1161,PA,8533.0,33,918.0,0,2155639.0,11673,184872.0,177409.0,1557,146048.0,2340511.0,13230,13028,30064
1162,PR,769.0,1,378.0,0,305972.0,0,29585.0,29585.0,447,25947.0,335557.0,447,0,0
1163,RI,1164.0,5,135.0,22,372406.0,1427,28649.0,28649.0,302,2558.0,985320.0,7409,1729,0
1164,SC,3696.0,35,697.0,69,1454429.0,8838,165493.0,158747.0,884,83361.0,1619922.0,9722,0,9615
1165,SD,330.0,7,329.0,47,200269.0,1655,34457.0,33466.0,621,25686.0,234726.0,2276,2276,8455
1166,TN,2952.0,30,1424.0,63,3163167.0,11836,233569.0,221884.0,1508,208182.0,3396736.0,13344,0,13154
1167,TX,17087.0,65,4588.0,0,6610769.0,52399,833557.0,833557.0,7884,733758.0,7444326.0,60283,0,60283
